rank,player_name,pokemon_name,teratypes,nature
363,Tom Winter [UK],Chien-Pao,Ghost,Sword of Ruin
363,Tom Winter [UK],urshifu-rapid-strike,Grass,Unseen Fist
363,Tom Winter [UK],Raging-Bolt,Fairy,Protosynthesis
363,Tom Winter [UK],Volcarona,Grass,Flame Body
364,Felipe Casas [CL],Chi-Yu,Ghost,Beads of Ruin
364,Felipe Casas [CL],urshifu-rapid-strike,Water,Unseen Fist
364,Felipe Casas [CL],Flutter-Mane,Fairy,Protosynthesis
364,Felipe Casas [CL],Terapagos,Stellar,Tera Shift
364,Felipe Casas [CL],Grimmsnarl,Ghost,Prankster
364,Felipe Casas [CL],Iron-Hands,Grass,Quark Drive
365,Arath Alejandro Vera Almaraz [MX],Rillaboom,Fire,Grassy Surge
365,Arath Alejandro Vera Almaraz [MX],Raging-Bolt,Fairy,Protosynthesis
365,Arath Alejandro Vera Almaraz [MX],Clefairy,Ground,Friend Guard
365,Arath Alejandro Vera Almaraz [MX],urshifu-rapid-strike,Stellar,Unseen Fist
365,Arath Alejandro Vera Almaraz [MX],Incineroar,Ghost,Intimidate
365,Arath Alejandro Vera Almaraz [MX],calyrex-shadow,Normal,As One
366,Jesús Jiménez Montes de Oca [ES],calyrex-shadow,Fairy,As One
366,Jesús Jiménez Montes de Oca [ES],Clefairy,Grass,Friend Guard
366,Jesús Jiménez Montes de Oca [ES],urshifu-rapid-strike,Water,Unseen Fist
366,Jesús Jiménez Montes de Oca [ES],Incineroar,Ghost,Intimidate
366,Jesús Jiménez Montes de Oca [ES],tornadus-incarnate,Dark,Prankster
366,Jesús Jiménez Montes de Oca [ES],Rillaboom,Fire,Grassy Surge
367,Charles Moses [US],tornadus-incarnate,Flying,Prankster
367,Charles Moses [US],landorus-incarnate,Poison,Sheer Force
367,Charles Moses [US],Farigiraf,Fire,Armor Tail
367,Charles Moses [US],urshifu-rapid-strike,Grass,Unseen Fist
367,Charles Moses [US],Rillaboom,Fire,Grassy Surge
367,Charles Moses [US],Kyogre,Grass,Drizzle
368,Ben Omnes-Norton [US],ogerpon-cornerstone-mask,Rock,Sturdy
368,Ben Omnes-Norton [US],Iron-Valiant,Steel,Protosynthesis
368,Ben Omnes-Norton [US],Clefairy,Ground,Friend Guard
368,Ben Omnes-Norton [US],calyrex-ice,Normal,As One
368,Ben Omnes-Norton [US],Raging-Bolt,Electric,Protosynthesis
368,Ben Omnes-Norton [US],urshifu-rapid-strike,Stellar,Unseen Fist
369,Patrick Cheng [CA],Electabuzz,Ghost,Vital Spirit
369,Patrick Cheng [CA],calyrex-ice,Fire,As One
369,Patrick Cheng [CA],ursaluna-bloodmoon,Normal,Mind’s Eye
369,Patrick Cheng [CA],Farigiraf,Ground,Armor Tail
369,Patrick Cheng [CA],Smeargle,Grass,Own Tempo
369,Patrick Cheng [CA],Iron-Hands,Grass,Quark Drive
370,Christopher Daoud [UK],Miraidon,Fairy,Hadron Engine
370,Christopher Daoud [UK],Farigiraf,Water,Armor Tail
370,Christopher Daoud [UK],urshifu-single-strike,Dark,Unseen Fist
370,Christopher Daoud [UK],ogerpon-hearthflame-mask,Fire,Mold Breaker
370,Christopher Daoud [UK],Iron-Hands,Water,Quark Drive
370,Christopher Daoud [UK],Whimsicott,Water,Prankster
371,Austin Le [US],urshifu-rapid-strike,Ghost,Unseen Fist
371,Austin Le [US],tornadus-incarnate,Dark,Prankster
371,Austin Le [US],Rillaboom,Normal,Grassy Surge
371,Austin Le [US],Raging-Bolt,Electric,Protosynthesis
371,Austin Le [US],Zamazenta,Dragon,Dauntless Shield
371,Austin Le [US],Chi-Yu,Ghost,Beads of Ruin
372,Carlos Júnior [BR],Farigiraf,Water,Armor Tail
372,Carlos Júnior [BR],Iron-Hands,Water,Quark Drive
372,Carlos Júnior [BR],calyrex-shadow,Dark,As One
372,Carlos Júnior [BR],weezing-galar,Dark,Neutralizing Gas
372,Carlos Júnior [BR],Mienshao,Grass,Inner Focus
372,Carlos Júnior [BR],Chi-Yu,Ghost,Beads of Ruin
373,CHIH-HUNG CHIU [TW],Torkoal,Fire,Drought
373,CHIH-HUNG CHIU [TW],necrozma-dawn,Water,Prism Armor
373,CHIH-HUNG CHIU [TW],Ursaluna,Ghost,Guts
373,CHIH-HUNG CHIU [TW],Gallade,Grass,Sharpness
373,CHIH-HUNG CHIU [TW],lilligant-hisui,Ghost,Chlorophyll
373,CHIH-HUNG CHIU [TW],indeedee-female,Grass,Psychic Surge
374,Brandon Davis [US],Lunala,Grass,Shadow Shield
374,Brandon Davis [US],urshifu-single-strike,Stellar,Unseen Fist
374,Brandon Davis [US],Ursaluna,Ghost,Guts
374,Brandon Davis [US],indeedee-female,Fairy,Psychic Surge
374,Brandon Davis [US],ogerpon-wellspring-mask,Water,Water Absorb
374,Brandon Davis [US],Torkoal,Fire,Drought
375,Len Deuel [US],urshifu-rapid-strike,Water,Unseen Fist
375,Len Deuel [US],tornadus-incarnate,Dark,Prankster
375,Len Deuel [US],calyrex-shadow,Water,As One
375,Len Deuel [US],Incineroar,Water,Intimidate
375,Len Deuel [US],Rillaboom,Fire,Grassy Surge
375,Len Deuel [US],Clefairy,Water,Friend Guard
376,David Harupa [US],Zamazenta,Dragon,Dauntless Shield
376,David Harupa [US],Glimmora,Grass,Toxic Debris
376,David Harupa [US],Pelipper,Steel,Drizzle
376,David Harupa [US],urshifu-rapid-strike,Grass,Unseen Fist
376,David Harupa [US],Chien-Pao,Ghost,Sword of Ruin
376,David Harupa [US],Rillaboom,Grass,Grassy Surge
377,Javier Ponce [CL],ursaluna-bloodmoon,Normal,Mind’s Eye
377,Javier Ponce [CL],ogerpon-hearthflame-mask,Fire,Mold Breaker
377,Javier Ponce [CL],Raging-Bolt,Electric,Protosynthesis
377,Javier Ponce [CL],urshifu-rapid-strike,Water,Unseen Fist
377,Javier Ponce [CL],Farigiraf,Water,Armor Tail
377,Javier Ponce [CL],calyrex-ice,Fire,As One
378,Oliver Esparza [MX],Iron-Hands,Fire,Quark Drive
378,Oliver Esparza [MX],ursaluna-bloodmoon,Normal,Mind’s Eye
378,Oliver Esparza [MX],tornadus-incarnate,Ground,Prankster
378,Oliver Esparza [MX],Farigiraf,Ground,Armor Tail
378,Oliver Esparza [MX],Miraidon,Electric,Hadron Engine
378,Oliver Esparza [MX],Chi-Yu,Ground,Beads of Ruin
379,Sebastian Rodriguez [PE],Flutter-Mane,Fairy,Protosynthesis
379,Sebastian Rodriguez [PE],Rillaboom,Fire,Grassy Surge
379,Sebastian Rodriguez [PE],ogerpon-hearthflame-mask,Fire,Mold Breaker
379,Sebastian Rodriguez [PE],urshifu-rapid-strike,Poison,Unseen Fist
379,Sebastian Rodriguez [PE],Incineroar,Ghost,Intimidate
379,Sebastian Rodriguez [PE],Terapagos,Stellar,Tera Shift
380,Matteo Moscardini [IT],urshifu-rapid-strike,Stellar,Unseen Fist
380,Matteo Moscardini [IT],Rillaboom,Fire,Grassy Surge
380,Matteo Moscardini [IT],calyrex-shadow,Fairy,As One
380,Matteo Moscardini [IT],Raging-Bolt,Fairy,Protosynthesis
380,Matteo Moscardini [IT],ogerpon-hearthflame-mask,Fire,Mold Breaker
380,Matteo Moscardini [IT],Incineroar,Water,Intimidate
381,Ethan Trejo [US],thundurus-incarnate,Dark,Prankster
381,Ethan Trejo [US],urshifu-rapid-strike,Ghost,Unseen Fist
381,Ethan Trejo [US],Entei,Normal,Inner Focus
381,Ethan Trejo [US],Chien-Pao,Ghost,Sword of Ruin
381,Ethan Trejo [US],Zamazenta,Grass,Dauntless Shield
381,Ethan Trejo [US],Rillaboom,Fire,Grassy Surge
382,Kusha Kanani [DE],Entei,Normal,Inner Focus
382,Kusha Kanani [DE],Flutter-Mane,Grass,Protosynthesis
382,Kusha Kanani [DE],Chien-Pao,Ghost,Sword of Ruin
382,Kusha Kanani [DE],Zamazenta,Dragon,Dauntless Shield
382,Kusha Kanani [DE],Rillaboom,Fire,Grassy Surge
382,Kusha Kanani [DE],urshifu-rapid-strike,Water,Unseen Fist
383,Giovanni Costa [US],urshifu-single-strike,Dark,Unseen Fist
383,Giovanni Costa [US],Flutter-Mane,Grass,Protosynthesis
383,Giovanni Costa [US],Miraidon,Electric,Hadron Engine
383,Giovanni Costa [US],Farigiraf,Fairy,Armor Tail
383,Giovanni Costa [US],Incineroar,Ghost,Intimidate
383,Giovanni Costa [US],Iron-Hands,Water,Quark Drive
384,James Evans [US],ogerpon-cornerstone-mask,Rock,Sturdy
384,James Evans [US],urshifu-single-strike,Dark,Unseen Fist
384,James Evans [US],Whimsicott,Fire,Prankster
384,James Evans [US],Miraidon,Fairy,Hadron Engine
384,James Evans [US],Iron-Hands,Water,Quark Drive
384,James Evans [US],Farigiraf,Water,Armor Tail
385,Paul Ruiz [EC],Incineroar,Ghost,Intimidate
385,Paul Ruiz [EC],calyrex-shadow,Fairy,As One
385,Paul Ruiz [EC],Roaring-Moon,Flying,Protosynthesis
385,Paul Ruiz [EC],ogerpon-wellspring-mask,Water,Water Absorb
385,Paul Ruiz [EC],Rillaboom,Fire,Grassy Surge
385,Paul Ruiz [EC],urshifu-rapid-strike,Water,Unseen Fist
386,Carson Confer [US],tatsugiri-curly,Stellar,Commander
386,Carson Confer [US],weezing-galar,Dark,Neutralizing Gas
386,Carson Confer [US],Dondozo,Grass,Unaware
386,Carson Confer [US],Iron-Hands,Grass,Quark Drive
386,Carson Confer [US],indeedee-female,Fairy,Psychic Surge
386,Carson Confer [US],calyrex-shadow,Dark,As One
387,Hoang Ho [US],Gholdengo,Normal,Good as Gold
387,Hoang Ho [US],urshifu-rapid-strike,Ghost,Unseen Fist
387,Hoang Ho [US],Rillaboom,Fire,Grassy Surge
387,Hoang Ho [US],Volcarona,Water,Flame Body
387,Hoang Ho [US],Chien-Pao,Ghost,Sword of Ruin
387,Hoang Ho [US],Rayquaza,Normal,Air Lock
388,Benjamin Majaura [DE],ogerpon-hearthflame-mask,Fire,Mold Breaker
388,Benjamin Majaura [DE],Farigiraf,Fire,Armor Tail
388,Benjamin Majaura [DE],Whimsicott,Normal,Prankster
388,Benjamin Majaura [DE],urshifu-single-strike,Stellar,Unseen Fist
388,Benjamin Majaura [DE],Iron-Hands,Water,Quark Drive
388,Benjamin Majaura [DE],Miraidon,Fairy,Hadron Engine
389,Andrew Block [US],Chien-Pao,Ghost,Sword of Ruin
389,Andrew Block [US],Entei,Normal,Inner Focus
389,Andrew Block [US],Iron-Treads,Stellar,Quark Drive
389,Andrew Block [US],Miraidon,Fairy,Hadron Engine
389,Andrew Block [US],Farigiraf,Water,Armor Tail
389,Andrew Block [US],Whimsicott,Fire,Prankster
390,Kiwamu Endo [JP],Rillaboom,Fire,Grassy Surge
390,Kiwamu Endo [JP],urshifu-rapid-strike,Stellar,Unseen Fist
390,Kiwamu Endo [JP],Raging-Bolt,Fairy,Protosynthesis
390,Kiwamu Endo [JP],calyrex-shadow,Dark,As One
390,Kiwamu Endo [JP],Amoonguss,Water,Regenerator
390,Kiwamu Endo [JP],Incineroar,Water,Intimidate
391,Paul Oliver Bautista [PH],Dragonite,Ground,Inner Focus
391,Paul Oliver Bautista [PH],indeedee-female,Water,Psychic Surge
391,Paul Oliver Bautista [PH],calyrex-shadow,Fairy,As One
391,Paul Oliver Bautista [PH],Incineroar,Water,Intimidate
391,Paul Oliver Bautista [PH],tornadus-incarnate,Ghost,Prankster
391,Paul Oliver Bautista [PH],urshifu-rapid-strike,Ghost,Unseen Fist
392,Vincent Ignacio [PH],Entei,Normal,Inner Focus
392,Vincent Ignacio [PH],indeedee-female,Water,Psychic Surge
392,Vincent Ignacio [PH],urshifu-rapid-strike,Water,Unseen Fist
392,Vincent Ignacio [PH],tornadus-incarnate,Ghost,Prankster
392,Vincent Ignacio [PH],Rillaboom,Fire,Grassy Surge
392,Vincent Ignacio [PH],calyrex-shadow,Fairy,As One
393,Frederik Nielsen [DK],Farigiraf,Fire,Armor Tail
393,Frederik Nielsen [DK],Iron-Hands,Bug,Quark Drive
393,Frederik Nielsen [DK],ursaluna-bloodmoon,Normal,Mind’s Eye
393,Frederik Nielsen [DK],Miraidon,Fairy,Hadron Engine
393,Frederik Nielsen [DK],Grimmsnarl,Ghost,Prankster
393,Frederik Nielsen [DK],ogerpon-hearthflame-mask,Fire,Mold Breaker
394,TAKASHI YAMAMOTO [JP],Rillaboom,Fire,Grassy Surge
394,TAKASHI YAMAMOTO [JP],urshifu-rapid-strike,Water,Unseen Fist
394,TAKASHI YAMAMOTO [JP],Flutter-Mane,Grass,Protosynthesis
394,TAKASHI YAMAMOTO [JP],Raging-Bolt,Electric,Protosynthesis
394,TAKASHI YAMAMOTO [JP],calyrex-ice,Normal,As One
394,TAKASHI YAMAMOTO [JP],Incineroar,Ghost,Intimidate
395,Pranav Sharma [US],Ting-Lu,Poison,Vessel of Ruin
395,Pranav Sharma [US],Tyranitar,Ghost,Sand Stream
395,Pranav Sharma [US],Rillaboom,Grass,Grassy Surge
395,Pranav Sharma [US],Scream-Tail,Dark,Protosynthesis
395,Pranav Sharma [US],Latios,Fire,Levitate
395,Pranav Sharma [US],Zamazenta,Dragon,Dauntless Shield
396,Júlio Eller [BR],Raging-Bolt,Bug,Protosynthesis
396,Júlio Eller [BR],Snorlax,Fairy,Thick Fat
396,Júlio Eller [BR],Flutter-Mane,Fairy,Protosynthesis
396,Júlio Eller [BR],Venusaur,Normal,Chlorophyll
396,Júlio Eller [BR],ogerpon-cornerstone-mask,Rock,Sturdy
396,Júlio Eller [BR],Koraidon,Fire,Orichalcum Pulse
397,Jasdil Deo [MY],Farigiraf,Water,Armor Tail
397,Jasdil Deo [MY],Miraidon,Fairy,Hadron Engine
397,Jasdil Deo [MY],Whimsicott,Dark,Prankster
397,Jasdil Deo [MY],Iron-Hands,Grass,Quark Drive
397,Jasdil Deo [MY],ogerpon-cornerstone-mask,Rock,Sturdy
397,Jasdil Deo [MY],urshifu-single-strike,Dark,Unseen Fist
398,ChihChun Chen [TW],Terapagos,Stellar,Tera Shift
398,ChihChun Chen [TW],Flutter-Mane,Grass,Protosynthesis
398,ChihChun Chen [TW],indeedee-female,Water,Psychic Surge
398,ChihChun Chen [TW],urshifu-rapid-strike,Stellar,Unseen Fist
398,ChihChun Chen [TW],ogerpon-hearthflame-mask,Fire,Mold Breaker
398,ChihChun Chen [TW],Iron-Hands,Grass,Quark Drive
399,Jorge Fernández Calatrava [ES],Farigiraf,Ground,Armor Tail
399,Jorge Fernández Calatrava [ES],calyrex-ice,Fire,As One
399,Jorge Fernández Calatrava [ES],urshifu-rapid-strike,Water,Unseen Fist
399,Jorge Fernández Calatrava [ES],Iron-Hands,Grass,Quark Drive
399,Jorge Fernández Calatrava [ES],Incineroar,Fairy,Intimidate
399,Jorge Fernández Calatrava [ES],Amoonguss,Water,Regenerator
400,Rushil Thakkar [US],urshifu-rapid-strike,Water,Unseen Fist
400,Rushil Thakkar [US],Farigiraf,Dragon,Armor Tail
400,Rushil Thakkar [US],Rillaboom,Fire,Grassy Surge
400,Rushil Thakkar [US],calyrex-ice,Water,As One
400,Rushil Thakkar [US],Raging-Bolt,Electric,Protosynthesis
400,Rushil Thakkar [US],Incineroar,Ghost,Intimidate
401,nicolas del campo [CL],Grimmsnarl,Ghost,Prankster
401,nicolas del campo [CL],ogerpon-hearthflame-mask,Fire,Mold Breaker
401,nicolas del campo [CL],Terapagos,Stellar,Tera Shift
401,nicolas del campo [CL],Rillaboom,Fire,Grassy Surge
401,nicolas del campo [CL],Incineroar,Ghost,Intimidate
401,nicolas del campo [CL],urshifu-rapid-strike,Stellar,Unseen Fist
402,Felipe Molino [PA],Scream-Tail,Grass,Protosynthesis
402,Felipe Molino [PA],Rillaboom,Fire,Grassy Surge
402,Felipe Molino [PA],Incineroar,Ghost,Intimidate
402,Felipe Molino [PA],Pelipper,Stellar,Drizzle
402,Felipe Molino [PA],urshifu-rapid-strike,Ghost,Unseen Fist
402,Felipe Molino [PA],Lunala,Fairy,Shadow Shield
403,Mitch Kendrick [AU],Whimsicott,Water,Prankster
403,Mitch Kendrick [AU],Clefairy,Grass,Friend Guard
403,Mitch Kendrick [AU],calyrex-shadow,Normal,As One
403,Mitch Kendrick [AU],urshifu-rapid-strike,Water,Unseen Fist
403,Mitch Kendrick [AU],ogerpon-cornerstone-mask,Rock,Sturdy
403,Mitch Kendrick [AU],indeedee-female,Fairy,Psychic Surge
404,Davide Carrer [IT],Iron-Hands,Bug,Quark Drive
404,Davide Carrer [IT],Whimsicott,Dark,Prankster
404,Davide Carrer [IT],Miraidon,Fairy,Hadron Engine
404,Davide Carrer [IT],Farigiraf,Water,Armor Tail
404,Davide Carrer [IT],urshifu-rapid-strike,Stellar,Unseen Fist
404,Davide Carrer [IT],ogerpon-hearthflame-mask,Fire,Mold Breaker
405,Chaiyawat Traiwichcha [TH],Rillaboom,Fire,Grassy Surge
405,Chaiyawat Traiwichcha [TH],urshifu-rapid-strike,Water,Unseen Fist
405,Chaiyawat Traiwichcha [TH],indeedee-female,Fairy,Psychic Surge
405,Chaiyawat Traiwichcha [TH],tornadus-incarnate,Dark,Prankster
405,Chaiyawat Traiwichcha [TH],Chi-Yu,Ghost,Beads of Ruin
405,Chaiyawat Traiwichcha [TH],calyrex-shadow,Normal,As One
406,Sergio Ramirez [ES],ogerpon-hearthflame-mask,Fire,Mold Breaker
406,Sergio Ramirez [ES],Rillaboom,Water,Grassy Surge
406,Sergio Ramirez [ES],Zamazenta,Ghost,Dauntless Shield
406,Sergio Ramirez [ES],urshifu-rapid-strike,Water,Unseen Fist
406,Sergio Ramirez [ES],Dragonite,Normal,Inner Focus
406,Sergio Ramirez [ES],Chien-Pao,Ghost,Sword of Ruin
407,kyle ayala [US],Iron-Hands,Grass,Quark Drive
407,kyle ayala [US],Miraidon,Fairy,Hadron Engine
407,kyle ayala [US],Chi-Yu,Ground,Beads of Ruin
407,kyle ayala [US],Farigiraf,Water,Armor Tail
407,kyle ayala [US],urshifu-single-strike,Dark,Unseen Fist
407,kyle ayala [US],Whimsicott,Water,Prankster
408,Vivek Arunagiri [AU],Zacian,Grass,Intrepid Sword
408,Vivek Arunagiri [AU],Pelipper,Ghost,Drizzle
408,Vivek Arunagiri [AU],Incineroar,Ghost,Intimidate
408,Vivek Arunagiri [AU],urshifu-rapid-strike,Water,Unseen Fist
408,Vivek Arunagiri [AU],Rillaboom,Normal,Grassy Surge
408,Vivek Arunagiri [AU],Raging-Bolt,Electric,Protosynthesis
409,Javier Poblete [CL],Raging-Bolt,Electric,Protosynthesis
409,Javier Poblete [CL],calyrex-ice,Fire,As One
409,Javier Poblete [CL],ogerpon-cornerstone-mask,Rock,Sturdy
409,Javier Poblete [CL],Farigiraf,Ground,Armor Tail
409,Javier Poblete [CL],urshifu-rapid-strike,Ghost,Unseen Fist
409,Javier Poblete [CL],Rillaboom,Fire,Grassy Surge
410,Ranieri Calderari [IT],calyrex-ice,Water,As One
410,Ranieri Calderari [IT],ogerpon-cornerstone-mask,Rock,Sturdy
410,Ranieri Calderari [IT],Rillaboom,Fire,Grassy Surge
410,Ranieri Calderari [IT],landorus-incarnate,Water,Sheer Force
410,Ranieri Calderari [IT],Farigiraf,Poison,Armor Tail
410,Ranieri Calderari [IT],urshifu-rapid-strike,Stellar,Unseen Fist
411,Matthew Robinson [AU],calyrex-ice,Water,As One
411,Matthew Robinson [AU],ogerpon-cornerstone-mask,Rock,Sturdy
411,Matthew Robinson [AU],Raging-Bolt,Fairy,Protosynthesis
411,Matthew Robinson [AU],Farigiraf,Fairy,Armor Tail
411,Matthew Robinson [AU],urshifu-rapid-strike,Stellar,Unseen Fist
411,Matthew Robinson [AU],Rillaboom,Fire,Grassy Surge
412,Takafumi Yukimori [JP],indeedee-female,Dragon,Psychic Surge
412,Takafumi Yukimori [JP],Ursaluna,Ghost,Guts
412,Takafumi Yukimori [JP],Lunala,Fairy,Shadow Shield
412,Takafumi Yukimori [JP],urshifu-rapid-strike,Water,Unseen Fist
412,Takafumi Yukimori [JP],ogerpon-hearthflame-mask,Fire,Mold Breaker
412,Takafumi Yukimori [JP],tornadus-incarnate,Ghost,Prankster
413,Or Kei yin [HK],Electabuzz,Water,Vital Spirit
413,Or Kei yin [HK],calyrex-ice,Water,As One
413,Or Kei yin [HK],urshifu-rapid-strike,Water,Unseen Fist
413,Or Kei yin [HK],Farigiraf,Ground,Armor Tail
413,Or Kei yin [HK],Rillaboom,Water,Grassy Surge
413,Or Kei yin [HK],ursaluna-bloodmoon,Normal,Mind’s Eye
414,Hanns Pizarro [PE],Incineroar,Water,Intimidate
414,Hanns Pizarro [PE],Pelipper,Ghost,Drizzle
414,Hanns Pizarro [PE],Rillaboom,Water,Grassy Surge
414,Hanns Pizarro [PE],urshifu-rapid-strike,Ghost,Unseen Fist
414,Hanns Pizarro [PE],Lunala,Fairy,Shadow Shield
414,Hanns Pizarro [PE],ogerpon-cornerstone-mask,Rock,Sturdy
415,Ryan Loseto [CA],urshifu-rapid-strike,Stellar,Unseen Fist
415,Ryan Loseto [CA],calyrex-ice,Fire,As One
415,Ryan Loseto [CA],Rillaboom,Water,Grassy Surge
415,Ryan Loseto [CA],Grimmsnarl,Ghost,Prankster
415,Ryan Loseto [CA],Gholdengo,Normal,Good as Gold
415,Ryan Loseto [CA],Raging-Bolt,Electric,Protosynthesis
416,KaSun Thompson [US],calyrex-ice,Fire,As One
416,KaSun Thompson [US],Farigiraf,Dragon,Armor Tail
416,KaSun Thompson [US],Raging-Bolt,Electric,Protosynthesis
416,KaSun Thompson [US],urshifu-rapid-strike,Stellar,Unseen Fist
416,KaSun Thompson [US],ogerpon-cornerstone-mask,Rock,Sturdy
416,KaSun Thompson [US],Rillaboom,Normal,Grassy Surge
417,Naoto Kishida [JP],urshifu-rapid-strike,Stellar,Unseen Fist
417,Naoto Kishida [JP],indeedee-female,Dragon,Psychic Surge
417,Naoto Kishida [JP],tornadus-incarnate,Dark,Prankster
417,Naoto Kishida [JP],calyrex-shadow,Dark,As One
417,Naoto Kishida [JP],Chi-Yu,Ghost,Tablets of Ruin
417,Naoto Kishida [JP],Iron-Hands,Water,Quark Drive
418,Ryan Hercus [AU],Amoonguss,Water,Regenerator
418,Ryan Hercus [AU],Raging-Bolt,Electric,Protosynthesis
418,Ryan Hercus [AU],Kyogre,Grass,Drizzle
418,Ryan Hercus [AU],Rillaboom,Fire,Grassy Surge
418,Ryan Hercus [AU],Grimmsnarl,Ghost,Prankster
418,Ryan Hercus [AU],Incineroar,Ghost,Intimidate
419,Andrew Whitman [US],Incineroar,Ghost,Intimidate
419,Andrew Whitman [US],urshifu-rapid-strike,Stellar,Unseen Fist
419,Andrew Whitman [US],calyrex-shadow,Normal,As One
419,Andrew Whitman [US],Rillaboom,Fire,Grassy Surge
419,Andrew Whitman [US],indeedee-female,Fairy,Psychic Surge
419,Andrew Whitman [US],ogerpon-hearthflame-mask,Fire,Mold Breaker
420,Charly Pastrana [MX],Dragonite,Normal,Inner Focus
420,Charly Pastrana [MX],Miraidon,Fairy,Hadron Engine
420,Charly Pastrana [MX],Dondozo,Grass,Unaware
420,Charly Pastrana [MX],Regigigas,Ghost,Slow Start
420,Charly Pastrana [MX],tatsugiri-curly,Normal,Commander
420,Charly Pastrana [MX],weezing-galar,Dark,Neutralizing Gas
421,Esteban Vásquez [CL],Glimmora,Grass,Toxic Debris
421,Esteban Vásquez [CL],calyrex-shadow,Normal,As One
421,Esteban Vásquez [CL],Clefairy,Water,Friend Guard
421,Esteban Vásquez [CL],Rillaboom,Fire,Grassy Surge
421,Esteban Vásquez [CL],tornadus-incarnate,Dark,Prankster
421,Esteban Vásquez [CL],urshifu-rapid-strike,Stellar,Unseen Fist
422,Teemu Mankinen [FI],Brute-Bonnet,Water,Protosynthesis
422,Teemu Mankinen [FI],goodra-hisui,Fairy,Shell Armor
422,Teemu Mankinen [FI],Rhyperior,Fairy,Lightning Rod
422,Teemu Mankinen [FI],calyrex-ice,Dragon,As One
422,Teemu Mankinen [FI],indeedee-female,Water,Psychic Surge
422,Teemu Mankinen [FI],Torkoal,Fire,Drought
423,Jakob Hermann-Hallum [DK],Miraidon,Electric,Hadron Engine
423,Jakob Hermann-Hallum [DK],Iron-Hands,Bug,Quark Drive
423,Jakob Hermann-Hallum [DK],Farigiraf,Fire,Armor Tail
423,Jakob Hermann-Hallum [DK],Grimmsnarl,Ghost,Prankster
423,Jakob Hermann-Hallum [DK],ursaluna-bloodmoon,Normal,Mind’s Eye
423,Jakob Hermann-Hallum [DK],ogerpon-hearthflame-mask,Fire,Mold Breaker
424,Ryan Haig [US],ursaluna-bloodmoon,Normal,Mind’s Eye
424,Ryan Haig [US],Raging-Bolt,Electric,Protosynthesis
424,Ryan Haig [US],urshifu-rapid-strike,Grass,Unseen Fist
424,Ryan Haig [US],calyrex-ice,Fire,As One
424,Ryan Haig [US],Amoonguss,Water,Regenerator
424,Ryan Haig [US],Chien-Pao,Ghost,Sword of Ruin
425,Léo Gaudinet [FR],Whimsicott,Water,Prankster
425,Léo Gaudinet [FR],Miraidon,Fairy,Hadron Engine
425,Léo Gaudinet [FR],Farigiraf,Water,Armor Tail
425,Léo Gaudinet [FR],Chi-Yu,Ghost,Beads of Ruin
425,Léo Gaudinet [FR],urshifu-rapid-strike,Stellar,Unseen Fist
425,Léo Gaudinet [FR],Iron-Hands,Water,Quark Drive
426,Gary Qian [US],urshifu-rapid-strike,Ghost,Unseen Fist
426,Gary Qian [US],Rillaboom,Fire,Grassy Surge
426,Gary Qian [US],calyrex-shadow,Grass,As One
426,Gary Qian [US],Pelipper,Steel,Drizzle
426,Gary Qian [US],Incineroar,Ghost,Intimidate
426,Gary Qian [US],Amoonguss,Fire,Regenerator
427,Lorenz Ravalo [NZ],ursaluna-bloodmoon,Ghost,Mind’s Eye
427,Lorenz Ravalo [NZ],Farigiraf,Water,Armor Tail
427,Lorenz Ravalo [NZ],ogerpon-cornerstone-mask,Rock,Sturdy
427,Lorenz Ravalo [NZ],calyrex-ice,Dragon,As One
427,Lorenz Ravalo [NZ],Torkoal,Fire,Drought
427,Lorenz Ravalo [NZ],Smeargle,Grass,Technician
428,Omar ZIYANI [FR],ursaluna-bloodmoon,Normal,Mind’s Eye
428,Omar ZIYANI [FR],indeedee-female,Fairy,Psychic Surge
428,Omar ZIYANI [FR],tornadus-incarnate,Dark,Prankster
428,Omar ZIYANI [FR],ogerpon-hearthflame-mask,Fire,Mold Breaker
428,Omar ZIYANI [FR],urshifu-rapid-strike,Water,Unseen Fist
428,Omar ZIYANI [FR],calyrex-shadow,Ghost,As One
429,Rafael Gonzalez [GT],Rillaboom,Normal,Grassy Surge
429,Rafael Gonzalez [GT],Incineroar,Ghost,Intimidate
429,Rafael Gonzalez [GT],Raging-Bolt,Fairy,Protosynthesis
429,Rafael Gonzalez [GT],urshifu-rapid-strike,Water,Unseen Fist
429,Rafael Gonzalez [GT],Pelipper,Ghost,Drizzle
429,Rafael Gonzalez [GT],calyrex-ice,Water,As One
430,Yotam Cohen [US],Iron-Hands,Fire,Quark Drive
430,Yotam Cohen [US],calyrex-shadow,Dark,As One
430,Yotam Cohen [US],urshifu-rapid-strike,Water,Unseen Fist
430,Yotam Cohen [US],tornadus-incarnate,Dark,Prankster
430,Yotam Cohen [US],indeedee-female,Water,Psychic Surge
430,Yotam Cohen [US],Chi-Yu,Ghost,Beads of Ruin
431,Trista Medine [US],Iron-Hands,Grass,Quark Drive
431,Trista Medine [US],Miraidon,Fairy,Hadron Engine
431,Trista Medine [US],Whimsicott,Dark,Prankster
431,Trista Medine [US],ogerpon-hearthflame-mask,Fire,Mold Breaker
431,Trista Medine [US],urshifu-rapid-strike,Stellar,Unseen Fist
